driver_id,oldest_ride,latest_ride,retention_period,retention_int
081d8ba3bc9a00a481df02bd9d0a4c53,2016-04-04,2016-06-24,81 days 00:00:00.000000000,81
0822973f3e812a68a867962dbbd37f5d,2016-05-08,2016-06-04,27 days 00:00:00.000000000,27
08a1491d6a804e0af969f08252ddbbd8,2016-04-16,2016-06-26,71 days 00:00:00.000000000,71
08b2b063cce8d02495c4b880293f153c,2016-04-20,2016-06-26,67 days 00:00:00.000000000,67
0938ed763cb3129ae63607aaf69daff5,2016-03-30,2016-06-25,87 days 00:00:00.000000000,87
0abc4faab8bbdf4d62412655fe0a2398,2016-05-03,2016-06-05,33 days 00:00:00.000000000,33
0afc0241296972b583debd7c5f5c707c,2016-04-05,2016-06-24,80 days 00:00:00.000000000,80
0b10af0ede0648dbe6ae05813c5cbf1b,2016-05-13,2016-06-10,28 days 00:00:00.000000000,28
0b631e16fa61f7321da18cf35a076d5f,2016-04-13,2016-06-26,74 days 00:00:00.000000000,74
0c02bd2b09f7193103279ab9b760b777,2016-03-29,2016-06-24,87 days 00:00:00.000000000,87
0ca501b2a1d72e80e0d0cd2c25bdd124,2016-04-21,2016-06-22,62 days 00:00:00.000000000,62
0d53c0441daccbb9022ccdcd2a58c7f7,2016-05-11,2016-06-23,43 days 00:00:00.000000000,43
0e7f0f05c7e193b1774c2e5713741cd4,2016-04-04,2016-06-26,83 days 00:00:00.000000000,83
0efa2b92642c1e6db77406bb3761baf4,2016-05-03,2016-06-26,54 days 00:00:00.000000000,54
0eff1404b137a5562642f0f706e59f25,2016-03-29,2016-04-20,22 days 00:00:00.000000000,22
0f057c0c73054f569a59a0880b91cbb0,2016-04-04,2016-06-25,82 days 00:00:00.000000000,82
0f346940b7c9dc770d408b1063ed2f81,2016-04-14,2016-06-22,69 days 00:00:00.000000000,69
100979abe35f7761f333bb7e63649767,2016-04-10,2016-06-25,76 days 00:00:00.000000000,76
10570128e114c22b855f1155b88fb379,2016-04-26,2016-06-24,59 days 00:00:00.000000000,59
10ab4d373b29fb6ee31ae2b7b39fc574,2016-05-14,2016-06-04,21 days 00:00:00.000000000,21
10d2c35bb4b440aa1eaf06d477ff27a6,2016-05-11,2016-06-07,27 days 00:00:00.000000000,27
1110d496149d3d8c50276765924df831,2016-03-31,2016-04-07,7 days 00:00:00.000000000,7
1127af601413f32c08e2a89447e5f3b9,2016-04-05,2016-06-25,81 days 00:00:00.000000000,81
113d6a61dd3bd21e5bc39bc19197f0f4,2016-04-05,2016-06-25,81 days 00:00:00.000000000,81
11506b81721ca68ef019764de3d8edbd,2016-04-22,2016-06-24,63 days 00:00:00.000000000,63
117ea72f13b43f0f4055b0472dcb6b1b,2016-04-25,2016-05-12,17 days 00:00:00.000000000,17
118be60e268514eb85f66ddb82bfa407,2016-05-11,2016-06-02,22 days 00:00:00.000000000,22
122972e7c73c944e744e6eca819d93e7,2016-04-24,2016-05-18,24 days 00:00:00.000000000,24
12933735316b452a5bc6a933d1a38124,2016-04-26,2016-06-26,61 days 00:00:00.000000000,61
133c19880625cbe91986ee3c402866cd,2016-04-28,2016-06-03,36 days 00:00:00.000000000,36
1340d44ca7946f4192cd80d8f47ce99b,2016-05-06,2016-06-26,51 days 00:00:00.000000000,51
14183e69946d782c92eb53b3c6eeb86f,2016-03-30,2016-06-17,79 days 00:00:00.000000000,79
148fb453d12992652b56d8bc2cfb1b78,2016-04-16,2016-06-01,46 days 00:00:00.000000000,46
156a150f1dbafbb01a786a5f45bdd7b6,2016-04-04,2016-05-01,27 days 00:00:00.000000000,27
15e0ade28a7d24026b2fe91ef528ddf5,2016-03-31,2016-06-26,87 days 00:00:00.000000000,87
162441a5f1b85a5c3780686296c3bc75,2016-04-18,2016-06-05,48 days 00:00:00.000000000,48
163b1ac215580e695280d8f94c687ef4,2016-04-18,2016-05-16,28 days 00:00:00.000000000,28
1674103b16c39ab56a76884b7c2ca83e,2016-04-18,2016-06-11,54 days 00:00:00.000000000,54
1682c469cb12aa06b06d93ab87c3836a,2016-04-20,2016-06-25,66 days 00:00:00.000000000,66
16cd1e08be52741e1516cade45ae7754,2016-05-05,2016-06-06,32 days 00:00:00.000000000,32
17235b165b78a09be9cd7f9abc1e833a,2016-04-07,2016-06-21,75 days 00:00:00.000000000,75
173a168d2b8830525f59be85a35f0000,2016-03-29,2016-04-15,17 days 00:00:00.000000000,17
175540c364f94b6adbc0ce3541a3254a,2016-05-14,2016-06-25,42 days 00:00:00.000000000,42
179ef343f855d34fa0262c720cdb9a52,2016-05-14,2016-05-17,3 days 00:00:00.000000000,3
17c09e7e39d8ab4bb4e035061d43ecdd,2016-04-07,2016-04-21,14 days 00:00:00.000000000,14
180284a755fb939181db32b838fd0720,2016-05-07,2016-06-23,47 days 00:00:00.000000000,47
1805f90c5220ac830835df3309a76e78,2016-04-04,2016-06-06,63 days 00:00:00.000000000,63
181396b71a4723deaa02c3dd3ffa9041,2016-04-06,2016-05-01,25 days 00:00:00.000000000,25
182a0089c24f844efcc4daa5a21eb895,2016-05-03,2016-05-31,28 days 00:00:00.000000000,28
183336ca67d3257c34cb80c9bd4dfb34,2016-04-19,2016-06-24,66 days 00:00:00.000000000,66
186d02f3ae489428440a352e3fe503a4,2016-05-06,2016-06-25,50 days 00:00:00.000000000,50
187a5227c531151abd112eef1d104301,2016-03-30,2016-06-21,83 days 00:00:00.000000000,83
19029e596b5c3e45cc6b3cca0640fa58,2016-05-02,2016-06-04,33 days 00:00:00.000000000,33
1925803c42c264e21fdcf0a35fbd2107,2016-04-16,2016-06-25,70 days 00:00:00.000000000,70
1936275dcb0942dc60a378839fae4730,2016-04-22,2016-06-25,64 days 00:00:00.000000000,64
1936720ce0900cbff6d9114328c84bee,2016-04-05,2016-06-07,63 days 00:00:00.000000000,63
1989ad384dd8ab8f43fd19822c36aeac,2016-03-31,2016-06-26,87 days 00:00:00.000000000,87
19daceea26aeb211cb8bf28c8497b6c2,2016-04-21,2016-06-26,66 days 00:00:00.000000000,66
19e1cdfeaf90239d8585e6a78136a403,2016-04-05,2016-06-26,82 days 00:00:00.000000000,82
1a2af09b492ba2519c5b4aec478642a7,2016-04-04,2016-06-26,83 days 00:00:00.000000000,83
1aee4c95edf898beee1a8b49a1f898b0,2016-04-05,2016-06-09,65 days 00:00:00.000000000,65
1b51afba3b72e0259db160170f824f95,2016-04-04,2016-06-18,75 days 00:00:00.000000000,75
1b9ddecea8eb99bc37f9b0711546f1c0,2016-04-20,2016-06-26,67 days 00:00:00.000000000,67
1c4312919166a0e7cefe6b3ddf1ec9c6,2016-05-13,2016-06-25,43 days 00:00:00.000000000,43
1c44fab20b7f0804c11d88dc0554edf4,2016-05-11,2016-06-08,28 days 00:00:00.000000000,28
1c6e8fbca23da68279d93b2de6eaa3d1,2016-05-01,2016-06-25,55 days 00:00:00.000000000,55
1c95fcac4de21d077072da1ea1705eb5,2016-04-20,2016-04-24,4 days 00:00:00.000000000,4
1cf95d6dd025d792340b623bcff18260,2016-04-11,2016-05-24,43 days 00:00:00.000000000,43
1d789a00290ec2e8a4ae1c704f671caf,2016-04-09,2016-06-24,76 days 00:00:00.000000000,76
1d7bc6daa163020694e2a5e636b96a0d,2016-04-20,2016-06-23,64 days 00:00:00.000000000,64
1d92784a09b1d1f85b05508e33261efb,2016-04-05,2016-06-23,79 days 00:00:00.000000000,79
1e836fdeba5bcacf45438c08bfcf4fa3,2016-04-26,2016-06-26,61 days 00:00:00.000000000,61
1e9570c1846c0f79c1ec103f608bc8ee,2016-05-14,2016-06-26,43 days 00:00:00.000000000,43
1eb30783865c10a8abc395e1b73bd578,2016-04-04,2016-05-02,28 days 00:00:00.000000000,28
1ed175c60fdf7380fefc804bf4dd75f3,2016-05-18,2016-06-25,38 days 00:00:00.000000000,38
1f83b77c681720ce48d33c21083c27e0,2016-04-13,2016-06-26,74 days 00:00:00.000000000,74
1f8e4a81c9da3260c84f14483319a338,2016-04-20,2016-06-03,44 days 00:00:00.000000000,44
20f5672c1b6a59b9d5ec09a34ad90e9b,2016-04-30,2016-06-10,41 days 00:00:00.000000000,41
215263f9135bdd22b0e41659046b150d,2016-04-13,2016-06-26,74 days 00:00:00.000000000,74
21eb2a893ddf647ee9d307d873a697b7,2016-05-11,2016-06-25,45 days 00:00:00.000000000,45
220d2d2a94c58c0f7ee7cb1864d5f0c5,2016-04-26,2016-06-26,61 days 00:00:00.000000000,61
2231ec7a993e7ce92f79588ccc405e21,2016-04-28,2016-06-16,49 days 00:00:00.000000000,49
225fb2558cee416b136c9c9231824580,2016-04-16,2016-06-24,69 days 00:00:00.000000000,69
22ca9510a0c0d97ba66750530ee0e914,2016-04-25,2016-06-25,61 days 00:00:00.000000000,61
22d43c4cd79a3cbab663d9eadd1e5995,2016-03-31,2016-06-26,87 days 00:00:00.000000000,87
23017e4c03d224c89b5e3a0550e1bd9f,2016-04-01,2016-06-26,86 days 00:00:00.000000000,86
236af2c3c395a20fd53696a5634abd7b,2016-03-31,2016-06-26,87 days 00:00:00.000000000,87
23f2a72a48ef9f44301dbcfd69f8b3f0,2016-04-20,2016-06-23,64 days 00:00:00.000000000,64
2422c0748699c412f9759b2897484061,2016-05-05,2016-06-25,51 days 00:00:00.000000000,51
24708f36edaf58e1c50b06720b536b45,2016-04-06,2016-06-25,80 days 00:00:00.000000000,80
2494554e7702a28816717bc0cbf7d57b,2016-05-02,2016-06-26,55 days 00:00:00.000000000,55
24b79c598cb070bf049057bd529d3c86,2016-04-05,2016-06-26,82 days 00:00:00.000000000,82
24f805c6313acfbc2250cbfd90268b24,2016-04-16,2016-06-26,71 days 00:00:00.000000000,71
25061f5683655c7cc6e503eb0383c96e,2016-04-14,2016-06-21,68 days 00:00:00.000000000,68
25827d13d5d988125ef4cc8a2ea3ddc1,2016-05-09,2016-06-21,43 days 00:00:00.000000000,43
258e3bc5c82e3f687b4e999bc598374e,2016-04-29,2016-06-23,55 days 00:00:00.000000000,55
2678d03ea513d10988818e77c5915b75,2016-04-20,2016-06-26,67 days 00:00:00.000000000,67
26dd952cf82f0d354e4007476748a1dc,2016-03-31,2016-06-26,87 days 00:00:00.000000000,87
26efe85697b050171e2ac92d11f75605,2016-03-29,2016-06-23,86 days 00:00:00.000000000,86
2715aa38740fc559be08fd54dccd1803,2016-04-01,2016-06-25,85 days 00:00:00.000000000,85
272fc17e9698d95dda029e15b5546534,2016-04-07,2016-06-26,80 days 00:00:00.000000000,80
274a1e97df854e1590ae812ca9ee5ac7,2016-04-02,2016-06-26,85 days 00:00:00.000000000,85
276f6a36e30c69076c4cab7970ade946,2016-05-13,2016-05-22,9 days 00:00:00.000000000,9
281274ed70a896744065199c58462f3d,2016-04-07,2016-05-06,29 days 00:00:00.000000000,29
28e4da66781b209cd9a299365a0dcab0,2016-04-21,2016-06-06,46 days 00:00:00.000000000,46
290c05b6d7e38c64bae2535b5d1d27f2,2016-04-15,2016-06-26,72 days 00:00:00.000000000,72
297e507cc9f1da096e51c2223657255b,2016-05-07,2016-06-26,50 days 00:00:00.000000000,50
299507a03373935d7a89a9fd6a6c0e46,2016-04-11,2016-06-25,75 days 00:00:00.000000000,75
29ca037d71b4a5934ae4528d050daeef,2016-04-13,2016-06-24,72 days 00:00:00.000000000,72
2a190f6b01dba26d00d3b644a268ba75,2016-04-08,2016-06-24,77 days 00:00:00.000000000,77
2a289b5c712e32bfb651b126cbe4e5bb,2016-04-05,2016-06-22,78 days 00:00:00.000000000,78
2a4afd4ab156dd0a6a0dc48bdf5d8db7,2016-05-07,2016-06-13,37 days 00:00:00.000000000,37
2aa41b072dc16081ebe60ad5b17f5a4c,2016-04-08,2016-06-26,79 days 00:00:00.000000000,79
2b1f99b4f3360623da8fdcd39828122e,2016-04-12,2016-06-18,67 days 00:00:00.000000000,67
2b4078909534095c15f578c588667bc9,2016-05-03,2016-05-11,8 days 00:00:00.000000000,8
2b77329ac116a3d1a5334c3fd54bd499,2016-03-29,2016-06-25,88 days 00:00:00.000000000,88
2ba51f9574a5c08327a718edada3e052,2016-04-26,2016-05-14,18 days 00:00:00.000000000,18
2ba60fe37b426385154d69d8eff687e1,2016-04-25,2016-06-03,39 days 00:00:00.000000000,39
2c130ea88372d326fb1a0719227627e3,2016-04-23,2016-06-18,56 days 00:00:00.000000000,56
2cc500616c927ce30d0bd1e87c699ef5,2016-04-06,2016-06-08,63 days 00:00:00.000000000,63
2d42e6d775b4399a56b71c2f3d6905ab,2016-03-29,2016-06-24,87 days 00:00:00.000000000,87
2d4c69afb7ac569a35a1c15fcecc1cb0,2016-04-14,2016-06-26,73 days 00:00:00.000000000,73
2da7874cc42c3c94f157bd3fd78369b6,2016-03-29,2016-06-19,82 days 00:00:00.000000000,82
2db4e5237ec8a271bd6269b5ddc9b422,2016-04-22,2016-06-25,64 days 00:00:00.000000000,64
2e4d5b1e1a62e56b3a8f887641379fe4,2016-04-09,2016-06-26,78 days 00:00:00.000000000,78
2e5d7b104b570a5cf450f6825880c9dc,2016-05-15,2016-06-25,41 days 00:00:00.000000000,41
2e882efad8288189f654defcd3dbcd64,2016-04-24,2016-06-26,63 days 00:00:00.000000000,63
2ebb15757eae00c4c491f569ca1a72a4,2016-04-01,2016-06-13,73 days 00:00:00.000000000,73
2ed0f3c071cdebf30186d2bf0a0c6151,2016-04-07,2016-06-26,80 days 00:00:00.000000000,80
2f29fdfd281552870b7f07152889e0fb,2016-04-04,2016-06-25,82 days 00:00:00.000000000,82
2f3773bd9dab0fa3e04c6f58dc0714a4,2016-04-22,2016-06-22,61 days 00:00:00.000000000,61
2f50e03ac03a920d1447b894643797f6,2016-04-08,2016-05-13,35 days 00:00:00.000000000,35
309320204754c3eeb2577949e870fe2d,2016-04-06,2016-06-23,78 days 00:00:00.000000000,78
30e91f4104a6b5b0450588d8febddd93,2016-05-05,2016-06-22,48 days 00:00:00.000000000,48
314d2be0d3461375f9e9ecf56b2b04ee,2016-04-29,2016-05-12,13 days 00:00:00.000000000,13
3155bb6b7fc081f2cccc4f50c9bea08e,2016-04-11,2016-06-26,76 days 00:00:00.000000000,76
31b451688ffc6f785c22bf74374507bc,2016-04-27,2016-05-01,4 days 00:00:00.000000000,4
329870cd7580c9efbc6b62073f89b90d,2016-04-24,2016-06-17,54 days 00:00:00.000000000,54
32b84f6d92b60badb7a8a6c47088151d,2016-04-14,2016-05-21,37 days 00:00:00.000000000,37
32d6b6b2ad34385519bd4492ce78eee4,2016-04-07,2016-05-12,35 days 00:00:00.000000000,35
336a98815390e16a5661d2570374d448,2016-03-31,2016-06-25,86 days 00:00:00.000000000,86
336c8ec2eb47bc1453b85ee78849038e,2016-04-29,2016-06-08,40 days 00:00:00.000000000,40
33b7762088cf5b82b8fe6fc291f93b6b,2016-04-15,2016-04-23,8 days 00:00:00.000000000,8
34699d5745d74c7076fd1ef051b795a9,2016-04-28,2016-05-26,28 days 00:00:00.000000000,28
3474d70dfe09a1d9545f436cd3f3136a,2016-05-13,2016-06-10,28 days 00:00:00.000000000,28
34784d7e4e1ee4869f10d9abeb4ad3fa,2016-04-23,2016-06-26,64 days 00:00:00.000000000,64
34c0cce7c3c34f9f6062b697637890b2,2016-05-11,2016-06-26,46 days 00:00:00.000000000,46
34e2c40d9d6f01ec4a0ffed4b032ec1e,2016-04-29,2016-06-24,56 days 00:00:00.000000000,56
3575446a7484516f5593add3ddd37451,2016-04-04,2016-06-13,70 days 00:00:00.000000000,70
35c3b0390b6f80657c53fb46b13f0a9e,2016-05-13,2016-06-23,41 days 00:00:00.000000000,41
35db61ddf8e29d55a2d355ed0f9166d8,2016-04-04,2016-06-25,82 days 00:00:00.000000000,82
35fa59db20f02b89264c5a97b94d7785,2016-04-19,2016-06-17,59 days 00:00:00.000000000,59
363f684a638dac345e67fbb78e492efc,2016-04-29,2016-06-23,55 days 00:00:00.000000000,55
367091701b7a57ef3e93c9fe2f6d3b3c,2016-04-25,2016-06-03,39 days 00:00:00.000000000,39
36de1e085fbd8f354dd3192571cece32,2016-04-19,2016-06-26,68 days 00:00:00.000000000,68
36df5bf5a89917fde3573e7c960c2097,2016-04-27,2016-06-25,59 days 00:00:00.000000000,59
370412f2a2747c1fdf8e807374c04a3d,2016-04-17,2016-06-26,70 days 00:00:00.000000000,70
370e9f95700973dd95508e2f39b2bd29,2016-04-22,2016-05-12,20 days 00:00:00.000000000,20
3777e15bb2eb838394a372e119d96462,2016-04-04,2016-06-13,70 days 00:00:00.000000000,70
3788dc9e91f1548816ce8b5af07ddadc,2016-04-26,2016-06-26,61 days 00:00:00.000000000,61
378f8bfcef6759b1e6b0e66b04424f54,2016-04-02,2016-06-25,84 days 00:00:00.000000000,84
37ac4f9379c836b08c9a6e2315fd66af,2016-04-07,2016-05-27,50 days 00:00:00.000000000,50
38510028b6d34d1b1339fa4e70783563,2016-04-17,2016-06-26,70 days 00:00:00.000000000,70
3857da988688981b67c878fc179eb0dc,2016-04-23,2016-06-26,64 days 00:00:00.000000000,64
387fb3e0e515f38826f70eb475a3bfb6,2016-04-16,2016-06-26,71 days 00:00:00.000000000,71
392e07cd00f38f357ae73795619fd0e3,2016-04-27,2016-06-26,60 days 00:00:00.000000000,60
392f50e58bee8a34399972bf0cb175d3,2016-04-30,2016-06-09,40 days 00:00:00.000000000,40
39a7bc235caf53556b15dd28ab5a7157,2016-05-02,2016-06-26,55 days 00:00:00.000000000,55
39eedffe18d7ec6c53741f9d46c7ab51,2016-04-22,2016-06-17,56 days 00:00:00.000000000,56
3a1d9fb7a8cfd55ae38d1b4fb1520d1f,2016-05-02,2016-06-13,42 days 00:00:00.000000000,42
3a52faf7577b389cbe9912652cbad33c,2016-03-30,2016-06-26,88 days 00:00:00.000000000,88
3af5c66b6800650cebac636822ac14c7,2016-04-25,2016-06-26,62 days 00:00:00.000000000,62
3b2dca5cc3db92a05ea35056887108b6,2016-04-04,2016-04-09,5 days 00:00:00.000000000,5
3b6ae24dc593e6609bf90a1b80630439,2016-04-21,2016-05-12,21 days 00:00:00.000000000,21
3b7f314bfe75abaa6718399d534ccf47,2016-04-01,2016-06-26,86 days 00:00:00.000000000,86
3b87648d266e62600ff719b691fd8562,2016-04-14,2016-06-24,71 days 00:00:00.000000000,71
3babf7dbd39edd11603dcd53e50dc050,2016-05-13,2016-06-16,34 days 00:00:00.000000000,34
3bfb185b9491beb56fc10b6212c6c9c2,2016-04-07,2016-06-26,80 days 00:00:00.000000000,80
3c69563a9561f995598ed81f1f5c331a,2016-04-14,2016-06-26,73 days 00:00:00.000000000,73
3caf85a7d6b8f5615fbc21e8310af584,2016-04-29,2016-06-26,58 days 00:00:00.000000000,58
3d2fa009a9f144706ad28ec9348f5960,2016-04-05,2016-06-26,82 days 00:00:00.000000000,82
3dad0a540eaab6fa876e4938d728efae,2016-04-15,2016-06-26,72 days 00:00:00.000000000,72
3dec7f876bb8b281df66b46469c79393,2016-04-14,2016-06-26,73 days 00:00:00.000000000,73
3e66ede2d283842c643b6b623d0ca168,2016-05-14,2016-06-20,37 days 00:00:00.000000000,37
3e8d06b82eb75b584564ce66217b3514,2016-05-07,2016-06-10,34 days 00:00:00.000000000,34
3f2ee0f16084bb99e8423807273c5816,2016-05-04,2016-06-23,50 days 00:00:00.000000000,50
3f62bb3b6a5ccddae37ff2fe3bfb3efd,2016-05-12,2016-06-26,45 days 00:00:00.000000000,45
3f79678c849eca6b438bb3d4bb59a5c6,2016-04-01,2016-06-24,84 days 00:00:00.000000000,84
3f82d353964869022a995e87b480a901,2016-04-05,2016-06-26,82 days 00:00:00.000000000,82
3fcdb7a637be76b45ad806d4f832c966,2016-04-18,2016-06-23,66 days 00:00:00.000000000,66
40061a1bbba0ff209c889094d24f6032,2016-03-30,2016-06-26,88 days 00:00:00.000000000,88
4008627b85a36afa46e22ecf513fc699,2016-05-09,2016-06-24,46 days 00:00:00.000000000,46
400daded5197f955191887cd567338ee,2016-04-15,2016-05-14,29 days 00:00:00.000000000,29
402ce9ac2db62fcb5fe29ba1d40566c7,2016-04-08,2016-06-24,77 days 00:00:00.000000000,77
4125bef57464803d018cacc1d3f08f74,2016-04-29,2016-06-24,56 days 00:00:00.000000000,56
415fbbda45a4a410e3122e3c992ace42,2016-05-01,2016-06-26,56 days 00:00:00.000000000,56
417055c67f5510da99ac623b02b87847,2016-05-01,2016-05-05,4 days 00:00:00.000000000,4
419eef26d8db5ccac04bf5d87af8059a,2016-04-26,2016-06-16,51 days 00:00:00.000000000,51
42256e33936dfa69088f540a720edc97,2016-04-23,2016-05-15,22 days 00:00:00.000000000,22
432754fe9722d008cd7328f34852de61,2016-04-01,2016-05-03,32 days 00:00:00.000000000,32
4343b3dc4ad77e98d38808b64003bee0,2016-04-21,2016-06-13,53 days 00:00:00.000000000,53
434adfc83c625f393595207cfff91ef2,2016-05-09,2016-06-26,48 days 00:00:00.000000000,48
440abd26a1c60ce02351bf1823d2d46d,2016-04-13,2016-06-26,74 days 00:00:00.000000000,74
44198b15df35d0827ebef271b6264727,2016-04-15,2016-06-19,65 days 00:00:00.000000000,65
443cf8f9119a8fc409780159c46d2de7,2016-04-10,2016-06-26,77 days 00:00:00.000000000,77
44509b1a5d4f1ad8350076d754ab1cb5,2016-04-06,2016-06-24,79 days 00:00:00.000000000,79
446b609957a142e8834dc88cebb7dee0,2016-05-08,2016-06-24,47 days 00:00:00.000000000,47
446ffe55730ace4059f02a4806018a08,2016-04-22,2016-06-23,62 days 00:00:00.000000000,62
44b7669c8f7ec8b8e592f150c7ee7fa2,2016-04-06,2016-06-26,81 days 00:00:00.000000000,81
44e9f61af64c2d25412a0f4532ada63c,2016-04-15,2016-04-28,13 days 00:00:00.000000000,13
455ec8a8532948fe2c5e308af37216a1,2016-04-15,2016-05-14,29 days 00:00:00.000000000,29
456467f01492ee1aeb7707de5c725f1c,2016-04-21,2016-06-26,66 days 00:00:00.000000000,66
459af73e5a9d360ff51cf284c571f01b,2016-05-03,2016-05-22,19 days 00:00:00.000000000,19
45ebd51300bd4bcc529a11a855827db4,2016-04-16,2016-06-20,65 days 00:00:00.000000000,65
46b9dc30efea1755f8ada69668793bf5,2016-04-12,2016-05-15,33 days 00:00:00.000000000,33
46da643aa47256fef0822a2f288e115b,2016-05-06,2016-06-26,51 days 00:00:00.000000000,51
46e1da1c7fe0602747beb9fe6bbaf037,2016-04-12,2016-06-11,60 days 00:00:00.000000000,60
46fcd24790c5eae35fa517051024bfe7,2016-04-11,2016-05-29,48 days 00:00:00.000000000,48
4705afcfaac4e4bd293f613e3b01598f,2016-04-26,2016-06-26,61 days 00:00:00.000000000,61
4713aa4cef966a678af02897a0e74043,2016-05-08,2016-06-26,49 days 00:00:00.000000000,49
4742b3f8432af0165e291edc6b8c5e53,2016-04-29,2016-06-08,40 days 00:00:00.000000000,40
479c3dccc06056867dd10c7d9fa0f569,2016-03-28,2016-06-25,89 days 00:00:00.000000000,89
47d53cd40685a32d936cbde7760eb434,2016-04-12,2016-06-26,75 days 00:00:00.000000000,75
48e49f85bb962b1f77ed152cc32dcd0a,2016-04-29,2016-06-26,58 days 00:00:00.000000000,58
490a37e876eb5d48f8e56e0d99461b04,2016-04-29,2016-06-20,52 days 00:00:00.000000000,52
4952bdd8850792b72466848cb4930f10,2016-04-20,2016-06-10,51 days 00:00:00.000000000,51
49803452ad1a68e87b448f5129276bc2,2016-04-21,2016-06-26,66 days 00:00:00.000000000,66
4a07b94db0ec6615f30ace6efd2a19cb,2016-04-28,2016-06-26,59 days 00:00:00.000000000,59
4aa585f63fbe04dcded4019662cc47f8,2016-04-22,2016-05-15,23 days 00:00:00.000000000,23
4af132c905d92d74454ca4934ee2450a,2016-04-14,2016-06-26,73 days 00:00:00.000000000,73
4af6c062ca397fd6b7bd2fb2a91e5964,2016-05-12,2016-06-18,37 days 00:00:00.000000000,37
4b52c260ac5817566e61009e4bd23329,2016-04-28,2016-06-23,56 days 00:00:00.000000000,56
4bcc817c8aba8c5569e370b238831e77,2016-05-10,2016-06-18,39 days 00:00:00.000000000,39
4c5f4c8887459671e65b68826fe750c3,2016-04-17,2016-06-26,70 days 00:00:00.000000000,70
4d10262d534bd366736dcabc8d37a3bb,2016-04-13,2016-06-12,60 days 00:00:00.000000000,60
4d1e99b879de5fa11e3f5423416f0497,2016-03-31,2016-05-06,36 days 00:00:00.000000000,36
4d40cd073132f01ccef7027f70890b6d,2016-05-04,2016-06-26,53 days 00:00:00.000000000,53
4dc7656f389d5cfcd38bf7870c1ce3e6,2016-05-12,2016-06-26,45 days 00:00:00.000000000,45
4dd633c46b8d78842b1e9dfb7f6a60e7,2016-04-10,2016-06-20,71 days 00:00:00.000000000,71
4e1fa948dc5295202fa8b7f8062b0d28,2016-05-19,2016-06-26,38 days 00:00:00.000000000,38
4e428667c6bb84323046e5647dfdfff0,2016-04-25,2016-05-15,20 days 00:00:00.000000000,20
